,Score,Std,batch_size,beta_1,beta_2,decay,dropout_rate,epochs,epsilon,filters,init,kernel_size,layers,lr,max_meanPool_1,max_meanPool_2,max_meanPool_3,max_meanPool_4,max_meanPool_5,max_meanPool_6,momentum,nesterov,optimizer,pool_size,rho,schedule_decay,stride
0,141.43698633148952,199.73109010301417,8,0.9980724957389953,0.9438111285421533,0.0,0.0,40,0.0001,128,lecun_uniform,3,1,0.01,1,2,1,1,2,2,0.9,False,Adam,3,0.8907908341853812,0.001,2
1,36.80152634754967,51.94928558789953,8,0.9282802305815364,0.9538695915776124,0.055,0.0,40,0.0001,256,lecun_normal,3,1,0.01,1,2,1,1,2,1,0.9,False,Nadam,1,0.8971874799133335,0.0035,1
2,32.354719621445554,45.50720919140396,8,0.9282802305815364,0.9438111285421533,0.028,0.0,40,0.0001,512,glorot_uniform,4,3,0.01,2,2,2,1,2,1,0.9,False,RMSprop,2,0.9189147580206087,0.009500000000000001,2
3,15.688099021437942,21.94500851088455,8,0.9952047388687629,0.931765734111213,0.063,0.0,40,1e-06,512,glorot_uniform,3,1,0.01,2,1,1,1,1,1,0.9,False,RMSprop,2,0.8945571910895495,0.007500000000000001,3
4,6.704337273948541,9.386143752689188,8,0.9474852373064089,0.9829050052690389,0.095,0.0,40,1e-09,128,lecun_uniform,4,1,0.01,1,2,1,1,1,2,0.9,False,RMSprop,2,0.8945571910895495,0.0065,3
5,3.614586477826872,4.84720640989954,64,0.9960795267665434,0.9828058491518772,0.013000000000000001,0.0,40,1e-09,512,glorot_uniform,4,3,0.01,1,2,2,2,2,1,0.9,False,RMSprop,3,0.8907908341853812,0.001,1
6,2.2227884953802928,3.041023187783304,8,0.9811023941592077,0.9482683966489763,0.029,0.0,40,1e-07,64,glorot_uniform,4,3,0.01,1,2,2,2,2,2,0.9,False,RMSprop,4,0.8907908341853812,0.001,1
7,2.215432932937563,3.0656715253440905,16,0.9283115006804877,0.9372025358268568,0.028,0.0,40,1e-07,512,lecun_uniform,1,1,0.01,2,2,1,1,2,2,0.9,False,Nadam,2,0.8579712595392451,0.0035,2
8,2.047813735250561,2.826855065667222,32,0.9189563632619225,0.9829050052690389,0.005,0.0,40,1e-09,512,lecun_uniform,4,1,0.01,2,1,2,1,1,1,0.9,False,Adam,1,0.9318004822409323,0.005,1
9,1.509403737929769,2.0096667161936295,8,0.9507826560273793,0.9257934472803286,0.021,0.0,40,1e-06,256,glorot_uniform,3,3,0.01,1,1,1,2,2,2,0.9,False,RMSprop,4,0.8713941821567934,0.004,2
10,0.704838748358748,0.9284668139444675,8,0.9960795267665434,0.9021379362786102,0.047,0.0,40,1e-09,32,lecun_normal,4,2,0.01,2,2,2,1,2,2,0.9,False,RMSprop,3,0.8117646962754989,0.003,2
11,0.3903524111972784,0.47543502754119554,32,0.9811023941592077,0.9947937822892918,0.056,0.0,40,1e-05,64,lecun_uniform,1,1,0.01,2,2,2,1,2,1,0.9,False,RMSprop,3,0.8160381451405475,0.007500000000000001,1
12,0.16201498860730063,0.14219999675067804,32,0.9960795267665434,0.9947937822892918,0.011,0.0,40,1e-08,128,lecun_normal,3,3,0.01,1,1,1,2,2,1,0.9,False,RMSprop,4,0.8614584503859835,0.0035,4
13,0.13352749218080992,0.10199407612119707,32,0.9348961193267237,0.9372025358268568,0.047,0.0,40,1e-07,512,glorot_normal,1,5,0.01,2,1,1,1,2,2,0.9,False,RMSprop,4,0.8945571910895495,0.0045000000000000005,1
14,0.10758814775161295,0.07957170789998175,8,0.9012731049947234,0.954421348973137,0.035,0.0,40,1e-09,64,lecun_normal,4,3,0.01,2,2,2,1,2,1,0.9,False,RMSprop,1,0.8907908341853812,0.009000000000000001,2
15,0.08815859694707556,0.01863242278313126,32,0.9189563632619225,0.9123286064661772,0.08700000000000001,0.0,40,1e-05,256,lecun_uniform,4,5,1e-05,2,1,1,2,2,1,0.9,False,Adam,4,0.9383910878685574,0.0085,4
16,0.0865622046126868,0.050485158873756535,8,0.9283115006804877,0.9829050052690389,0.001,0.0,40,1e-07,256,glorot_uniform,3,2,0.001,2,2,1,2,1,2,0.9,False,RMSprop,4,0.8737425683683265,0.0035,2
17,0.07947533328466211,0.04936307274457737,8,0.9189563632619225,0.9123286064661772,0.006,0.0,40,1e-06,512,lecun_normal,4,2,0.0001,2,1,2,2,2,1,0.9,False,Nadam,4,0.8971874799133335,0.005,1
18,0.07556044999943776,0.039307690605605586,32,0.9952047388687629,0.9538695915776124,0.004,0.0,40,1e-05,512,lecun_uniform,1,6,0.01,2,1,2,2,1,2,0.9,False,Nadam,1,0.8579712595392451,0.007500000000000001,1
19,0.07479485372657575,0.04382432795797231,64,0.9002732203352128,0.9482683966489763,0.003,0.0,40,1e-05,512,lecun_normal,4,5,0.001,2,2,1,1,1,1,0.9,False,Nadam,4,0.8614584503859835,0.0015,4
20,0.07312989425334197,0.02527354339853966,16,0.9348961193267237,0.9282681481159918,0.078,0.0,40,1e-08,32,glorot_uniform,3,2,0.0001,1,2,2,2,2,2,0.9,False,Adamax,2,0.8558514759961651,0.009500000000000001,2
21,0.07290932814693368,0.03511585066341762,64,0.9474852373064089,0.9605644521475415,0.01,0.0,40,0.0001,512,glorot_normal,4,6,0.01,2,1,2,2,2,2,0.9,False,Adam,1,0.9318004822409323,0.0085,1
22,0.06952289866464344,0.03348377787167642,64,0.9002732203352128,0.9438111285421533,0.003,0.0,40,1e-09,256,glorot_uniform,1,1,0.001,1,2,1,2,2,1,0.9,False,Nadam,4,0.8971874799133335,0.001,4
23,0.06763526743032916,0.024674492316394455,32,0.9002732203352128,0.9021379362786102,0.06,0.0,40,1e-07,512,lecun_normal,1,3,0.001,2,2,2,2,1,2,0.9,False,RMSprop,3,0.8907908341853812,0.0015,3
24,0.06589724918571271,0.03553047080369287,32,0.9952047388687629,0.931765734111213,0.02,0.0,40,0.0001,512,glorot_uniform,4,2,0.001,2,1,2,2,1,1,0.9,False,Adam,4,0.8579712595392451,0.009000000000000001,2
25,0.06570926608419941,0.0025353556626092986,64,0.9832363547084183,0.9947937822892918,0.065,0.0,40,1e-07,32,glorot_uniform,2,2,1e-05,1,2,1,2,2,1,0.9,False,Adamax,3,0.8945571910895495,0.0085,4
