,mae_NN
0,0.03409803658723831
1,0.029905512928962708
2,0.03445466607809067
3,0.03199600800871849
4,0.0315670445561409
5,0.030825553461909294
6,0.0291818305850029
7,0.03268438205122948
8,0.033840157091617584
9,0.03401591628789902
10,0.034187301993370056
11,0.034876566380262375
12,0.03226298466324806
13,0.03181561455130577
14,0.03272396698594093
15,0.03389602527022362
16,0.03414936363697052
17,0.032831043004989624
18,0.0320926159620285
19,0.030625371262431145
