NDRE_val,sensor,field,date,data
0.5306128859519958,7,AES,2012-06-25,2012-06-25
0.41880863904953003,8,AES,2012-06-25,2012-06-25
0.5850368738174438,9,AES,2012-06-25,2012-06-25
0.5624509453773499,10,AES,2012-06-25,2012-06-25
0.5639069080352783,11,AES,2012-06-25,2012-06-25
0.5101101398468018,12,AES,2012-06-25,2012-06-25
0.15962092578411102,1,AES,2011-06-26,2011-06-26
0.1315404325723648,2,AES,2011-06-26,2011-06-26
0.48707088828086853,3,AES,2011-06-26,2011-06-26
0.16524645686149597,4,AES,2011-06-26,2011-06-26
0.5542145371437073,5,AES,2011-06-26,2011-06-26
0.5001435875892639,6,AES,2011-06-26,2011-06-26
0.4926287829875946,7,AES,2011-06-26,2011-06-26
0.3808337152004242,8,AES,2011-06-26,2011-06-26
0.34408944845199585,9,AES,2011-06-26,2011-06-26
0.5276774764060974,10,AES,2011-06-26,2011-06-26
0.41462525725364685,11,AES,2011-06-26,2011-06-26
0.5352234244346619,12,AES,2011-06-26,2011-06-26
0.2308480143547058,1,AES,2015-06-28,2015-06-28
0.2198517620563507,2,AES,2015-06-28,2015-06-28
0.38269123435020447,3,AES,2015-06-28,2015-06-28
0.21892577409744263,4,AES,2015-06-28,2015-06-28
0.31830790638923645,5,AES,2015-06-28,2015-06-28
0.2849390208721161,6,AES,2015-06-28,2015-06-28
0.3447508215904236,7,AES,2015-06-28,2015-06-28
0.1913166642189026,8,AES,2015-06-28,2015-06-28
0.2943837642669678,9,AES,2015-06-28,2015-06-28
0.22512109577655792,10,AES,2015-06-28,2015-06-28
0.26530951261520386,11,AES,2015-06-28,2015-06-28
0.25121012330055237,12,AES,2015-06-28,2015-06-28
0.39769527316093445,1,AES,2013-06-29,2013-06-29
0.5777356028556824,2,AES,2013-06-29,2013-06-29
0.45964252948760986,3,AES,2013-06-29,2013-06-29
0.2622551918029785,4,AES,2013-06-29,2013-06-29
0.5491586923599243,5,AES,2013-06-29,2013-06-29
0.5696126222610474,6,AES,2013-06-29,2013-06-29
0.5767974853515625,7,AES,2013-06-29,2013-06-29
0.29309096932411194,8,AES,2013-06-29,2013-06-29
0.45141106843948364,9,AES,2013-06-29,2013-06-29
0.5352767705917358,10,AES,2013-06-29,2013-06-29
0.548041582107544,11,AES,2013-06-29,2013-06-29
0.6621944308280945,12,AES,2013-06-29,2013-06-29
0.3617382347583771,1,AES,2014-06-04,2014-06-04
0.4541511833667755,2,AES,2014-06-04,2014-06-04
0.41337868571281433,3,AES,2014-06-04,2014-06-04
0.29801997542381287,4,AES,2014-06-04,2014-06-04
0.4205341935157776,5,AES,2014-06-04,2014-06-04
0.42389988899230957,6,AES,2014-06-04,2014-06-04
0.3458157181739807,7,AES,2014-06-04,2014-06-04
0.2635628879070282,8,AES,2014-06-04,2014-06-04
0.31363075971603394,9,AES,2014-06-04,2014-06-04
0.34889093041419983,10,AES,2014-06-04,2014-06-04
0.33951932191848755,11,AES,2014-06-04,2014-06-04
0.4361250400543213,12,AES,2014-06-04,2014-06-04
0.5395529866218567,1,AES,2015-06-05,2015-06-05
0.5112784504890442,2,AES,2015-06-05,2015-06-05
0.6111672520637512,3,AES,2015-06-05,2015-06-05
0.4069097340106964,4,AES,2015-06-05,2015-06-05
0.600121259689331,5,AES,2015-06-05,2015-06-05
0.6136367917060852,6,AES,2015-06-05,2015-06-05
0.5454672574996948,7,AES,2015-06-05,2015-06-05
0.43686947226524353,8,AES,2015-06-05,2015-06-05
0.48313164710998535,9,AES,2015-06-05,2015-06-05
0.5856976509094238,10,AES,2015-06-05,2015-06-05
0.5666947364807129,11,AES,2015-06-05,2015-06-05
0.5530532598495483,12,AES,2015-06-05,2015-06-05
0.3593759834766388,1,AES,2013-06-08,2013-06-08
0.46376413106918335,2,AES,2013-06-08,2013-06-08
0.3890652060508728,3,AES,2013-06-08,2013-06-08
0.2806059420108795,4,AES,2013-06-08,2013-06-08
0.42403990030288696,5,AES,2013-06-08,2013-06-08
0.44088900089263916,6,AES,2013-06-08,2013-06-08
0.3536568880081177,7,AES,2013-06-08,2013-06-08
0.30529913306236267,8,AES,2013-06-08,2013-06-08
0.32118821144104004,9,AES,2013-06-08,2013-06-08
0.41270509362220764,10,AES,2013-06-08,2013-06-08
0.42063820362091064,11,AES,2013-06-08,2013-06-08
0.5779123902320862,12,AES,2013-06-08,2013-06-08
0.17460671067237854,1,AES,2009-06-09,2009-06-09
0.14143644273281097,2,AES,2009-06-09,2009-06-09
0.3452891707420349,3,AES,2009-06-09,2009-06-09
0.14755414426326752,4,AES,2009-06-09,2009-06-09
0.37408384680747986,5,AES,2009-06-09,2009-06-09
0.3711661398410797,6,AES,2009-06-09,2009-06-09
0.37221285700798035,7,AES,2009-06-09,2009-06-09
0.29386526346206665,8,AES,2009-06-09,2009-06-09
0.2888452112674713,9,AES,2009-06-09,2009-06-09
0.3536120355129242,10,AES,2009-06-09,2009-06-09
0.33509957790374756,11,AES,2009-06-09,2009-06-09
0.37930718064308167,12,AES,2009-06-09,2009-06-09
0.2398526519536972,1,AES,2010-07-12,2010-07-12
0.26673319935798645,2,AES,2010-07-12,2010-07-12
0.37231117486953735,3,AES,2010-07-12,2010-07-12
0.21650773286819458,4,AES,2010-07-12,2010-07-12
0.37326347827911377,5,AES,2010-07-12,2010-07-12
0.3670833110809326,6,AES,2010-07-12,2010-07-12
0.42543232440948486,7,AES,2010-07-12,2010-07-12
0.2638927102088928,8,AES,2010-07-12,2010-07-12
0.3927704095840454,9,AES,2010-07-12,2010-07-12
0.28171098232269287,10,AES,2010-07-12,2010-07-12
0.3235812783241272,11,AES,2010-07-12,2010-07-12
0.3270685076713562,12,AES,2010-07-12,2010-07-12
0.2619352638721466,1,AES,2012-07-13,2012-07-13
0.32767438888549805,2,AES,2012-07-13,2012-07-13
0.40800026059150696,3,AES,2012-07-13,2012-07-13
0.2532939016819,4,AES,2012-07-13,2012-07-13
0.3709550201892853,5,AES,2012-07-13,2012-07-13
0.3677634596824646,6,AES,2012-07-13,2012-07-13
0.37646350264549255,7,AES,2012-07-13,2012-07-13
0.2605654299259186,8,AES,2012-07-13,2012-07-13
0.40744367241859436,9,AES,2012-07-13,2012-07-13
0.3453380763530731,10,AES,2012-07-13,2012-07-13
0.3775666058063507,11,AES,2012-07-13,2012-07-13
0.36792466044425964,12,AES,2012-07-13,2012-07-13
0.20280879735946655,1,AES,2010-07-18,2010-07-18
0.20677408576011658,2,AES,2010-07-18,2010-07-18
0.37400612235069275,3,AES,2010-07-18,2010-07-18
0.20979033410549164,4,AES,2010-07-18,2010-07-18
0.3538728356361389,5,AES,2010-07-18,2010-07-18
0.3020438551902771,6,AES,2010-07-18,2010-07-18
0.34434688091278076,7,AES,2010-07-18,2010-07-18
0.20616227388381958,8,AES,2010-07-18,2010-07-18
0.33249738812446594,9,AES,2010-07-18,2010-07-18
0.22380419075489044,10,AES,2010-07-18,2010-07-18
0.3053918480873108,11,AES,2010-07-18,2010-07-18
0.29134291410446167,12,AES,2010-07-18,2010-07-18
0.1548892706632614,1,AES,2014-07-25,2014-07-25
0.1769368052482605,2,AES,2014-07-25,2014-07-25
0.2423630952835083,3,AES,2014-07-25,2014-07-25
0.14848364889621735,4,AES,2014-07-25,2014-07-25
0.2254256010055542,5,AES,2014-07-25,2014-07-25
0.23571744561195374,6,AES,2014-07-25,2014-07-25
0.18774110078811646,7,AES,2014-07-25,2014-07-25
0.13942845165729523,8,AES,2014-07-25,2014-07-25
0.1868480145931244,9,AES,2014-07-25,2014-07-25
0.16077874600887299,10,AES,2014-07-25,2014-07-25
0.1849733293056488,11,AES,2014-07-25,2014-07-25
0.19579501450061798,12,AES,2014-07-25,2014-07-25
0.13938334584236145,1,AES,2013-07-27,2013-07-27
0.14733070135116577,2,AES,2013-07-27,2013-07-27
0.21977777779102325,3,AES,2013-07-27,2013-07-27
0.12733447551727295,4,AES,2013-07-27,2013-07-27
0.24604949355125427,5,AES,2013-07-27,2013-07-27
0.23009368777275085,6,AES,2013-07-27,2013-07-27
0.19071419537067413,7,AES,2013-07-27,2013-07-27
0.11620225757360458,8,AES,2013-07-27,2013-07-27
0.30803388357162476,9,AES,2013-07-27,2013-07-27
0.13494785130023956,10,AES,2013-07-27,2013-07-27
0.17740799486637115,11,AES,2013-07-27,2013-07-27
0.18054762482643127,12,AES,2013-07-27,2013-07-27
0.13347293436527252,1,AES,2009-07-28,2009-07-28
0.12528125941753387,2,AES,2009-07-28,2009-07-28
0.4048722982406616,3,AES,2009-07-28,2009-07-28
0.147284597158432,4,AES,2009-07-28,2009-07-28
0.37623679637908936,5,AES,2009-07-28,2009-07-28
0.41262638568878174,6,AES,2009-07-28,2009-07-28
0.3082774877548218,7,AES,2009-07-28,2009-07-28
0.15534387528896332,8,AES,2009-07-28,2009-07-28
0.3542667329311371,9,AES,2009-07-28,2009-07-28
0.1793595254421234,10,AES,2009-07-28,2009-07-28
0.25808465480804443,11,AES,2009-07-28,2009-07-28
0.3227800726890564,12,AES,2009-07-28,2009-07-28
0.1330554187297821,1,AES,2009-07-03,2009-07-03
0.12653915584087372,2,AES,2009-07-03,2009-07-03
0.5576819181442261,3,AES,2009-07-03,2009-07-03
0.12758159637451172,4,AES,2009-07-03,2009-07-03
0.5599835515022278,5,AES,2009-07-03,2009-07-03
0.5488702058792114,6,AES,2009-07-03,2009-07-03
0.5598726272583008,7,AES,2009-07-03,2009-07-03
0.2526266276836395,8,AES,2009-07-03,2009-07-03
0.4467536211013794,9,AES,2009-07-03,2009-07-03
0.44100621342658997,10,AES,2009-07-03,2009-07-03
0.5582992434501648,11,AES,2009-07-03,2009-07-03
0.5136986970901489,12,AES,2009-07-03,2009-07-03
0.12003064900636673,1,AES,2011-07-31,2011-07-31
0.10491228103637695,2,AES,2011-07-31,2011-07-31
0.5063652992248535,3,AES,2011-07-31,2011-07-31
0.1238357424736023,4,AES,2011-07-31,2011-07-31
0.49383193254470825,5,AES,2011-07-31,2011-07-31
0.4643704891204834,6,AES,2011-07-31,2011-07-31
0.28078174591064453,7,AES,2011-07-31,2011-07-31
0.14358845353126526,8,AES,2011-07-31,2011-07-31
0.3758281469345093,9,AES,2011-07-31,2011-07-31
0.28372710943222046,10,AES,2011-07-31,2011-07-31
0.3575204908847809,11,AES,2011-07-31,2011-07-31
0.4429531991481781,12,AES,2011-07-31,2011-07-31
0.45352208614349365,1,AES,2012-07-06,2012-07-06
0.5392734408378601,2,AES,2012-07-06,2012-07-06
0.5444973707199097,3,AES,2012-07-06,2012-07-06
0.3883153796195984,4,AES,2012-07-06,2012-07-06
0.5208154916763306,5,AES,2012-07-06,2012-07-06
0.4944719076156616,6,AES,2012-07-06,2012-07-06
0.5310862064361572,7,AES,2012-07-06,2012-07-06
0.42514973878860474,8,AES,2012-07-06,2012-07-06
0.4977100193500519,9,AES,2012-07-06,2012-07-06
0.5548802018165588,10,AES,2012-07-06,2012-07-06
0.5250764489173889,11,AES,2012-07-06,2012-07-06
0.5118151903152466,12,AES,2012-07-06,2012-07-06
0.43812695145606995,1,AES,2013-07-08,2013-07-08
0.5070540308952332,2,AES,2013-07-08,2013-07-08
0.5049054026603699,3,AES,2013-07-08,2013-07-08
0.35086068511009216,4,AES,2013-07-08,2013-07-08
0.5572457909584045,5,AES,2013-07-08,2013-07-08
0.5705069303512573,6,AES,2013-07-08,2013-07-08
0.5501487851142883,7,AES,2013-07-08,2013-07-08
0.3176553547382355,8,AES,2013-07-08,2013-07-08
0.51395583152771,9,AES,2013-07-08,2013-07-08
0.44856759905815125,10,AES,2013-07-08,2013-07-08
0.5442456007003784,11,AES,2013-07-08,2013-07-08
0.6327521800994873,12,AES,2013-07-08,2013-07-08
0.30704593658447266,1,AES,2014-07-08,2014-07-08
0.45587047934532166,2,AES,2014-07-08,2014-07-08
0.48201557993888855,3,AES,2014-07-08,2014-07-08
