date,field,soilM_avg,imputed,precip.cm,tair.C,rh.pct,wind_sp.m_per_s,irradiance.w_per_m.2,average_sand,average_silt,average_clay
2014-04-14,AES,0.30532949075,0.30532949075,0,10.81666667,39.95833333,3.125,252.7083333,14.891866378687002,60.79695492725847,24.31117869405452
2014-04-15,AES,0.3074722362166667,0.3074722362166667,0,8.85,47.95833333,8.145833333,217.375,14.891866378687002,60.79695492725847,24.31117869405452
2014-04-16,AES,0.30683620841666664,0.30683620841666664,0,7.625,67.125,2.333333333,130.2916667,14.891866378687002,60.79695492725847,24.31117869405452
2014-04-17,AES,0.3057589839,0.3057589839,1.106,7.920833333,87.125,3.370833333,73.58333333,14.891866378687002,60.79695492725847,24.31117869405452
2014-04-18,AES,0.3051090080666667,0.3051090080666667,0,6.4125,65.95833333,6.9625,252.9166667,14.891866378687002,60.79695492725847,24.31117869405452
2014-04-19,AES,0.30456539416666667,0.30456539416666667,0,9.566666667,55,6.4125,208.625,14.891866378687002,60.79695492725847,24.31117869405452
2014-04-20,AES,0.30418060155,0.30418060155,0,9.083333333,61.04166667,3.554166667,261.25,14.891866378687002,60.79695492725847,24.31117869405452
2014-04-21,AES,0.30442852255,0.30442852255,0,13.34166667,49.04166667,3.945833333,145.875,14.891866378687002,60.79695492725847,24.31117869405452
2014-04-22,AES,0.30472341085,0.30472341085,0.131,6.054166667,79.95833333,6.783333333,120.25,14.891866378687002,60.79695492725847,24.31117869405452
2014-04-23,AES,0.30427918151666666,0.30427918151666666,0.342,5.466666667,79,6.054166667,157.75,14.891866378687002,60.79695492725847,24.31117869405452
2014-04-24,AES,0.3031343960166667,0.3031343960166667,0.947,8.833333333,77.91666667,4.679166667,157.0416667,14.891866378687002,60.79695492725847,24.31117869405452
2014-04-25,AES,0.30464970265,0.30464970265,0,5.883333333,81.08333333,3.933333333,109.8333333,14.891866378687002,60.79695492725847,24.31117869405452
2014-04-26,AES,0.3047196650666667,0.3047196650666667,0,6.204166667,73.125,4.9125,220.0833333,14.891866378687002,60.79695492725847,24.31117869405452
