Date, A1_1, A1_2, A1_3, A1_4, A1_5, A2_1, A2_2, A2_3, A2_4, A2_5, A3_1, A3_2, A3_3, A3_4, A3_5, A4_1, A4_2, A4_3, A4_4, A4_5, A5_1, A5_2, A5_3, A5_4, A5_5, A6_1, A6_2, A6_3, A6_4, A6_5, A7_1, A7_2, A7_3, A7_4, A7_5, A8_1, A8_2, A8_3, A8_4, A8_5, A9_1, A9_2, A9_3, A9_4, A9_5, A10_1, A10_2, A10_3, A10_4, A10_5, A11_1, A11_2, A11_3, A11_4, A11_5, A12_1, A12_2, A12_3, A12_4, A12_5,A1'_1,A1'_2,A1'_3,A1'_4,A1'_5,A2'_1,A2'_2,A2'_3,A2'_4,A2'_5,A3'_1,A3'_2,A3'_3,A3'_4,A3'_5,A4'_1,A4'_2,A4'_3,A4'_4,A4'_5,A5'_1,A5'_2,A5'_3,A5'_4,A5'_5,A6'_1,A6'_2,A6'_3,A6'_4,A6'_5,A7'_1,A7'_2,A7'_3,A7'_4,A7'_5,A8'_1,A8'_2,A8'_3,A8'_4,A8'_5,A9'_1,A9'_2,A9'_3,A9'_4,A9'_5,A10'_1,A10'_2,A10'_3,A10'_4,A10'_5,A11'_1,A11'_2,A11'_3,A11'_4,A11'_5,A12'_1,A12'_2,A12'_3,A12'_4,A12'_5, A1-C_1, A1-C_2, A1-C_3, A1-C_4, A1-C_5, A2-C_1, A2-C_2, A2-C_3, A2-C_4, A2-C_5, A3-C_1, A3-C_2, A3-C_3, A3-C_4, A3-C_5, A4-C_1, A4-C_2, A4-C_3, A4-C_4, A4-C_5, A5-C_1, A5-C_2, A5-C_3, A5-C_4, A5-C_5, A6-C_1, A6-C_2, A6-C_3, A6-C_4, A6-C_5, A7-C_1, A7-C_2, A7-C_3, A7-C_4, A7-C_5, A10-C_1, A10-C_2, A10-C_3, A10-C_4, A10-C_5, A11-C_1, A11-C_2, A11-C_3, A11-C_4, A11-C_5, A12-C_1, A12-C_2, A12-C_3, A12-C_4, A12-C_5
2011-10-29,0.264665,0.2925,0.282253,,0.260778,0.245481,0.250873,0.248524,0.208491,0.194494,0.098232,0.136877,0.154767,,0.205128,0.27763,0.295453,0.272942,0.229894,0.151408,,0.134704,0.150142,0.158103,0.141623,0.164709,0.136009,0.151829,0.163066,0.211459,0.114291,0.164709,0.193724,,0.279795,,,,,,0.133397,0.161417,0.173243,0.1883,0.231656,0.206626,0.177253,0.165528,0.230247,0.216602,0.140764,0.196794,0.239321,0.282253,,0.189079,0.117448,0.21806,0.189468,0.204753,0.264665,0.2925,0.282253,,0.260778,0.245481,0.250873,0.248524,0.208491,0.194494,0.098232,0.136877,0.154767,,0.205128,0.27763,0.295453,0.272942,0.229894,0.151408,,0.134704,0.150142,0.158103,0.141623,0.164709,0.136009,0.151829,0.163066,0.211459,0.114291,0.164709,0.193724,,0.279795,,,,,,0.133397,0.161417,0.173243,0.1883,0.231656,0.206626,0.177253,0.165528,0.230247,0.216602,0.140764,0.196794,0.239321,0.282253,,0.189079,0.117448,0.21806,0.189468,0.204753,0.377736539590808,0.29117266285212007,0.30984799010202035,,,0.26005320836022805,0.30061362552459564,0.2876439329840014,0.31036456564258724,0.22258380530445088,0.07401963843829479,0.2074997534416445,0.10306851919642046,,0.2618929793403246,,0.3381074891352326,0.35289547492531376,,,,0.14970735249381042,0.15768362534527844,,0.11709584226876232,,0.14079011760111787,0.12639769180313853,0.18539430171124022,0.18712496751002497,0.09196673511304843,0.17624543111404556,0.18137416331607753,,0.3505769242593749,0.21026189750158691,0.22859973110874182,0.2583261759007086,0.28079374177101485,,0.06919362103783483,0.17211637626018117,0.2486144026035013,,,0.21131744834922706,0.16149637772726938,0.24564554824696813,,
2011-10-30,0.264987,0.291608,0.281947,,0.260126,0.246836,0.249533,0.24785,0.208864,0.196029,0.098232,0.136443,0.154767,,0.205128,0.27545,0.293092,0.270416,0.227412,0.15309,,0.13731,0.150986,0.157687,0.132523,0.162654,0.137743,0.155603,0.163066,0.211089,0.113386,0.163888,0.193724,,0.279487,,,,,,0.133833,0.16183,0.175252,0.189079,0.23271,0.202871,0.176053,0.169198,0.232359,0.216237,0.141194,0.193339,0.229894,0.283475,0.190245,0.194109,0.124595,0.207746,0.192181,0.199843,0.264987,0.291608,0.281947,,0.260126,0.246836,0.249533,0.24785,0.208864,0.196029,0.098232,0.136443,0.154767,,0.205128,0.27545,0.293092,0.270416,0.227412,0.15309,,0.13731,0.150986,0.157687,0.132523,0.162654,0.137743,0.155603,0.163066,0.211089,0.113386,0.163888,0.193724,,0.279487,,,,,,0.133833,0.16183,0.175252,0.189079,0.23271,0.202871,0.176053,0.169198,0.232359,0.216237,0.141194,0.193339,0.229894,0.283475,0.190245,0.194109,0.124595,0.207746,0.192181,0.199843,0.3790036778938398,0.28896724707724697,0.30928191548512196,,,0.26279779024691774,0.2977830440591684,0.2864128648085808,0.31166567842132203,0.22960034228501913,0.07401963843829479,0.2071255627229346,0.10306851919642046,,0.2618929793403246,,0.3285882485310182,0.345839769791254,,,,0.1537410552557283,0.1585496801943483,,0.09403535543805483,,0.14349561682902934,0.13085490174994535,0.18539430171124022,0.1865102330704488,0.09011914445161129,0.17503352630856853,0.18137416331607753,,0.3502610717127565,0.2007520134703265,0.22664942765056545,0.26069150095616167,0.2836669226636606,,0.07012057199429461,0.16386714083723358,0.23897985965353977,,,0.21759795409735078,0.16784489477335607,0.2367051601937466,,
2011-10-31,0.264665,0.291013,0.28164,,0.259799,0.246836,0.249533,0.247512,0.208864,0.196412,0.098232,0.136877,0.154767,,0.204753,0.273571,0.291906,0.269464,0.226344,0.15351,,0.13904,0.150564,0.157271,0.142053,0.161417,0.139471,0.157687,0.163066,0.210719,0.113386,0.164298,0.193339,,0.278869,,,,,,0.134269,0.162242,0.176053,0.189857,0.229894,0.199843,0.175252,0.170415,0.232359,0.216237,0.141194,0.191795,0.226344,0.279178,0.18281,0.18791,0.126809,0.201738,0.191795,0.197559,0.264665,0.291013,0.28164,,0.259799,0.246836,0.249533,0.247512,0.208864,0.196412,0.098232,0.136877,0.154767,,0.204753,0.273571,0.291906,0.269464,0.226344,0.15351,,0.13904,0.150564,0.157271,0.142053,0.161417,0.139471,0.157687,0.163066,0.210719,0.113386,0.164298,0.193339,,0.278869,,,,,,0.134269,0.162242,0.176053,0.189857,0.229894,0.199843,0.175252,0.170415,0.232359,0.216237,0.141194,0.191795,0.226344,0.279178,0.18281,0.18791,0.126809,0.201738,0.191795,0.197559,0.377736539590808,0.2874961457475951,0.3087139909511748,,,0.26279779024691774,0.2977830440591684,0.2857955042102245,0.31166567842132203,0.2313510482547635,0.07401963843829479,0.2074997534416445,0.10306851919642046,,0.2613986897407594,,0.323806452954314,0.3431806125119092,,,,0.1564188395144075,0.15811665276981338,,0.11818551362449906,,0.14619175446791688,0.13331616977568606,0.18539430171124022,0.1858954986308727,0.09011914445161129,0.17563874064504306,0.1805637932247418,,0.3496273156289572,0.19308332403047118,0.2253476000922327,0.2614758607906267,0.2836669226636606,,0.07012057199429461,0.16018065183780344,0.2353517035622739,,,0.20985782385229731,0.16981154046246144,0.23149730180478456,,
2011-11-01,0.264987,0.290416,0.281026,,0.259799,0.246836,0.249533,0.247512,0.208864,0.196029,0.098232,0.136443,0.154767,,0.205128,0.273257,0.291013,0.268509,0.225987,0.15351,0.184385,0.140764,0.150564,0.157271,0.154348,0.160591,0.140764,0.158519,0.163066,0.211089,0.112933,0.163888,0.193724,,0.278559,0.194109,0.0973,0.162242,0.276386,0.200223,0.134269,0.163066,0.176454,0.190245,0.228123,0.19794,0.174851,0.17082,0.232008,0.215871,0.141623,0.190633,0.224199,0.276386,0.177652,0.193339,0.127693,0.19794,0.191408,0.195646,0.264987,0.290416,0.281026,,0.259799,0.246836,0.249533,0.247512,0.208864,0.196029,0.098232,0.136443,0.154767,,0.205128,0.273257,0.291013,0.268509,0.225987,0.15351,0.184385,0.140764,0.150564,0.157271,0.154348,0.160591,0.140764,0.158519,0.163066,0.211089,0.112933,0.163888,0.193724,,0.278559,0.194109,0.0973,0.162242,0.276386,0.200223,0.134269,0.163066,0.176454,0.190245,0.228123,0.19794,0.174851,0.17082,0.232008,0.215871,0.141623,0.190633,0.224199,0.276386,0.177652,0.193339,0.127693,0.19794,0.191408,0.195646,0.3790036778938398,0.2860200995395241,0.3075781418832805,,,0.26279779024691774,0.2977830440591684,0.2857955042102245,0.31166567842132203,0.22960034228501913,0.07401963843829479,0.2071255627229346,0.10306851919642046,,0.2618929793403246,,0.3202059947334063,0.3405130755352556,,,0.1533704119567201,0.15908733666005082,0.15811665276981338,,0.14934251204027363,,0.14820917690257054,0.13429878733682626,0.18539430171124022,0.1865102330704488,0.08919432835257149,0.17503352630856853,0.18137416331607753,,0.3493094120917764,0.1882638009115662,0.22469587368662547,0.2617368844002884,0.2831894195891726,,0.0710453672508557,0.15740623459859499,0.23315947967050904,,,0.21663652478799583,0.1705967774946065,0.2282051170242789,,
2011-11-02,0.264342,0.290117,0.281026,,0.259472,0.246159,0.249533,0.247174,0.208864,0.197177,0.0973,0.136443,0.154767,,0.205128,0.271366,0.290416,0.267872,0.225987,0.15351,0.182415,0.141194,0.150142,0.156855,0.156021,0.158934,0.142053,0.158934,0.162654,0.211089,0.111116,0.163066,0.193339,,0.27825,0.191795,0.101943,0.163066,0.266592,0.195262,0.132523,0.163066,0.176454,0.190633,0.2267,0.195262,0.174047,0.17082,0.231656,0.215871,0.140764,0.190245,0.222403,0.274199,0.174851,0.181625,0.128134,0.194878,0.190633,0.194109,0.264342,0.290117,0.281026,,0.259472,0.246159,0.249533,0.247174,0.208864,0.197177,0.0973,0.136443,0.154767,,0.205128,0.271366,0.290416,0.267872,0.225987,0.15351,0.182415,0.141194,0.150142,0.156855,0.156021,0.158934,0.142053,0.158934,0.162654,0.211089,0.111116,0.163066,0.193339,,0.27825,0.191795,0.101943,0.163066,0.266592,0.195262,0.132523,0.163066,0.176454,0.190633,0.2267,0.195262,0.174047,0.17082,0.231656,0.215871,0.140764,0.190245,0.222403,0.274199,0.174851,0.181625,0.128134,0.194878,0.190633,0.194109,0.37646546607565534,0.28528084021588396,0.3075781418832805,,,0.2614265120644167,0.2977830440591684,0.28517814361186816,0.31166567842132203,0.23484788916038857,0.0723861702981185,0.2071255627229346,0.10306851919642046,,0.2618929793403246,,0.3177989694726201,0.3387337864733411,,,0.14979817695302663,0.15975291309428896,0.15768362534527844,,0.15358209384991903,,0.150220358277875,0.1347889150866739,0.18432523574322235,0.1865102330704488,0.08548485627319993,0.17382014537056348,0.1805637932247418,,0.3489925340498768,0.18148151877156204,0.22338917036964734,0.2617368844002884,0.28271055610706497,,0.06919362103783483,0.15647983710391955,0.23132393929306858,,,0.2020103131908744,0.17098850773349333,0.22555091223283386,,
2011-11-03,0.26305,0.289519,0.281026,,0.259145,0.245141,0.249533,0.247174,0.208864,0.197559,0.096834,0.136443,0.155185,,0.205128,0.268828,0.28922,0.267552,0.22563,0.15351,0.180833,0.141623,0.14972,0.156855,0.162242,0.158103,0.142482,0.158934,0.162654,0.210719,0.110206,0.162654,0.193339,,0.27825,0.189468,0.104251,0.162654,0.261428,0.193339,0.132086,0.162654,0.176454,0.19102,0.225273,0.192953,0.173243,0.17082,0.231656,0.215871,0.140333,0.189079,0.221683,0.272628,0.174047,0.189468,0.128134,0.192567,0.189857,0.192953,0.26305,0.289519,0.281026,,0.259145,0.245141,0.249533,0.247174,0.208864,0.197559,0.096834,0.136443,0.155185,,0.205128,0.268828,0.28922,0.267552,0.22563,0.15351,0.180833,0.141623,0.14972,0.156855,0.162242,0.158103,0.142482,0.158934,0.162654,0.210719,0.110206,0.162654,0.193339,,0.27825,0.189468,0.104251,0.162654,0.261428,0.193339,0.132086,0.162654,0.176454,0.19102,0.225273,0.192953,0.173243,0.17082,0.231656,0.215871,0.140333,0.189079,0.221683,0.272628,0.174047,0.189468,0.128134,0.192567,0.189857,0.192953,0.3713811720150434,0.2838023215686035,0.3075781418832805,,,0.2593645309864462,0.2977830440591684,0.28517814361186816,0.31166567842132203,0.2365940240962695,0.07156943622803039,0.2071255627229346,0.10384341008674836,,0.2618929793403246,,0.31297685521483076,0.3378399520937296,,,0.14692950904650728,0.1604169416763545,0.1572505979207435,,0.1693468508360543,,0.1508897118930849,0.1347889150866739,0.18432523574322235,0.1858954986308727,0.08362705792855041,0.173211978769033,0.1805637932247418,,0.3489925340498768,0.17563376318482965,0.22208246705266915,0.2617368844002884,0.28271055610706497,,0.0682645143814763,0.1536958693750753,0.23058808791681185,,,0.21180315744187522,0.17098850773349333,0.22354768974000905,,
2011-11-04,0.262402,0.28862,0.279795,,0.259145,0.244121,0.249197,0.247174,0.208864,0.197559,0.096834,0.136009,0.155185,,0.204753,0.266913,0.288319,0.266592,0.225273,0.15351,0.179245,0.141623,0.14972,0.156855,0.160591,0.157271,0.14291,0.159349,0.162654,0.210719,0.110661,0.163066,0.192953,,0.27794,0.18791,0.10609,0.162242,0.258163,0.192181,0.132523,0.162654,0.176454,0.19102,0.224199,0.191408,0.172033,0.17082,0.231305,0.215871,0.140333,0.1883,0.220237,0.271366,0.172436,0.179245,0.128134,0.190245,0.189468,0.191795,0.262402,0.28862,0.279795,,0.259145,0.244121,0.249197,0.247174,0.208864,0.197559,0.096834,0.136009,0.155185,,0.204753,0.266913,0.288319,0.266592,0.225273,0.15351,0.179245,0.141623,0.14972,0.156855,0.160591,0.157271,0.14291,0.159349,0.162654,0.210719,0.110661,0.163066,0.192953,,0.27794,0.18791,0.10609,0.162242,0.258163,0.192181,0.132523,0.162654,0.176454,0.19102,0.224199,0.191408,0.172033,0.17082,0.231305,0.215871,0.140333,0.1883,0.220237,0.271366,0.172436,0.179245,0.128134,0.190245,0.189468,0.191795,0.3688311545604951,0.28157959871926375,0.30530089399634575,,,0.25729849886510037,0.2970732863185837,0.28517814361186816,0.31166567842132203,0.2365940240962695,0.07156943622803039,0.20675137200422466,0.10384341008674836,,0.2613986897407594,,0.3093441420490547,0.3351584489548945,,,0.1440499612364234,0.1604169416763545,0.1572505979207435,,0.1651630196539117,,0.1515575052434575,0.13527904283652148,0.18432523574322235,0.1858954986308727,0.08455595710087516,0.17382014537056348,0.17975131827602603,,0.3486746305126959,0.171720908104058,0.22011591106567463,0.2617368844002884,0.282233053032577,,0.0682645143814763,0.1518359115184975,0.22911025306949623,,,0.19903862259832283,0.17098850773349333,0.22153493222017384,,
2011-11-05,0.261753,0.288319,0.279487,,0.258818,0.243097,0.24886,0.246836,0.208864,0.197559,0.0959,0.136009,0.155185,,0.205128,0.26402,0.287115,0.266272,0.224915,0.15351,0.178449,0.142053,0.14972,0.156855,0.162654,0.156438,0.143339,0.159763,0.162654,0.210719,0.110206,0.162654,0.192567,,0.27763,0.186347,0.107465,0.16183,0.255529,0.191795,0.132086,0.162654,0.176053,0.19102,0.223123,0.189857,0.171224,0.170415,0.231305,0.215871,0.140333,0.18752,0.219513,0.270099,0.171224,0.190633,0.127693,0.1883,0.189079,0.19102,0.261753,0.288319,0.279487,,0.258818,0.243097,0.24886,0.246836,0.208864,0.197559,0.0959,0.136009,0.155185,,0.205128,0.26402,0.287115,0.266272,0.224915,0.15351,0.178449,0.142053,0.14972,0.156855,0.162654,0.156438,0.143339,0.159763,0.162654,0.210719,0.110206,0.162654,0.192567,,0.27763,0.186347,0.107465,0.16183,0.255529,0.191795,0.132086,0.162654,0.176053,0.19102,0.223123,0.189857,0.171224,0.170415,0.231305,0.215871,0.140333,0.18752,0.219513,0.270099,0.171224,0.190633,0.127693,0.1883,0.189079,0.19102,0.3662772018938255,0.2808353945172045,0.3047311195453498,,,0.25522436465700427,0.29636141620377104,0.2845607830135118,0.31166567842132203,0.2365940240962695,0.06993246279141593,0.20675137200422466,0.10384341008674836,,0.2618929793403246,,0.30448977284639744,0.33426461457528284,,,0.14260656069685998,0.1610825181105927,0.1572505979207435,,0.17039090804201598,,0.15222685885866744,0.13576798955564656,0.18432523574322235,0.1858954986308727,0.08362705792855041,0.173211978769033,0.17893884332731014,,0.34835672697551506,0.16779285746957467,0.2188010814842874,0.2614758607906267,0.282233053032577,,0.0682645143814763,0.1499735660395108,0.22837031363003807,,,0.21325778750083427,0.1705967774946065,0.21984896608060475,,
2011-11-06,0.260778,0.286813,0.279487,,0.258818,0.242071,0.24785,0.246836,0.208491,0.197177,0.095432,0.135574,0.155185,,0.205128,0.262726,0.2853,0.265308,0.224915,0.15351,0.176853,0.141623,0.149297,0.156855,0.146326,0.155603,0.143766,0.159763,0.162654,0.210719,0.109294,0.162242,0.192567,,0.277319,0.184385,0.10838,0.161417,0.253541,0.19102,0.13121,0.162242,0.176053,0.19102,0.222043,0.18791,0.170415,0.17001,0.231305,0.215505,0.139902,0.187129,0.218787,0.269464,0.170415,0.176454,0.127251,0.186738,0.18869,0.190633,0.260778,0.286813,0.279487,,0.258818,0.242071,0.24785,0.246836,0.208491,0.197177,0.095432,0.135574,0.155185,,0.205128,0.262726,0.2853,0.265308,0.224915,0.15351,0.176853,0.141623,0.149297,0.156855,0.146326,0.155603,0.143766,0.159763,0.162654,0.210719,0.109294,0.162242,0.192567,,0.277319,0.184385,0.10838,0.161417,0.253541,0.19102,0.13121,0.162242,0.176053,0.19102,0.222043,0.18791,0.170415,0.17001,0.231305,0.215505,0.139902,0.187129,0.218787,0.269464,0.170415,0.176454,0.127251,0.186738,0.18869,0.190633,0.36244037007563923,0.2771119010676989,0.3047311195453498,,,0.25314617940553297,0.2942279182335609,0.2845607830135118,0.31036456564258724,0.23484788916038857,0.06911222342488965,0.20637631909491863,0.10384341008674836,,0.2618929793403246,,0.2971719322294345,0.3315719385067026,,,0.13971250634869006,0.1604169416763545,0.15681654436487086,,0.12901380595720377,,0.15289309194420272,0.13576798955564656,0.18432523574322235,0.1858954986308727,0.08176517651061599,0.17260381216750248,0.17893884332731014,,0.34803779794305295,0.16286190029011688,0.21748625190290022,0.26121483718096494,0.282233053032577,,0.0673354077251177,0.14904000567760844,0.2276283301589792,,,0.19555375350428442,0.17020415897853397,0.21849499224512559,,
2011-11-07,0.260126,0.286209,0.278869,,0.258491,0.242071,0.247512,0.246498,0.208491,0.197177,0.094964,0.135574,0.155185,,0.205128,0.262078,0.284085,0.264987,0.224558,0.15309,0.175252,0.141623,0.149297,0.156438,0.159349,0.154767,0.143766,0.159763,0.162654,0.210719,0.108837,0.16183,0.192567,,0.277008,0.183204,0.109294,0.160591,0.251542,0.190633,0.130333,0.16183,0.175653,,0.221322,0.186347,0.169198,0.169604,0.230952,0.215505,0.139471,0.186347,0.21806,0.268509,0.169604,0.184778,0.126809,0.185171,0.1883,0.190245,0.260126,0.286209,0.278869,,0.258491,0.242071,0.247512,0.246498,0.208491,0.197177,0.094964,0.135574,0.155185,,0.205128,0.262078,0.284085,0.264987,0.224558,0.15309,0.175252,0.141623,0.149297,0.156438,0.159349,0.154767,0.143766,0.159763,0.162654,0.210719,0.108837,0.16183,0.192567,,0.277008,0.183204,0.109294,0.160591,0.251542,0.190633,0.130333,0.16183,0.175653,,0.221322,0.186347,0.169198,0.169604,0.230952,0.215505,0.139471,0.186347,0.21806,0.268509,0.169604,0.184778,0.126809,0.185171,0.1883,0.190245,0.35987461177260605,0.2756185477851615,0.30358787080926075,,,0.25314617940553297,0.2935139357445204,0.28394342241515547,0.31036456564258724,0.23484788916038857,0.06829198405836337,0.20637631909491863,0.10384341008674836,,0.2618929793403246,,0.2922732124775832,0.3306753108946546,,,0.13680938541421625,0.1604169416763545,0.15681654436487086,,0.16201564331943488,,0.15289309194420272,0.13576798955564656,0.18432523574322235,0.1858954986308727,0.08083219426500629,0.171995645565972,0.17893884332731014,,0.34771886891059084,0.15890345854821014,0.21550831914573298,0.2609531690685633,0.2817528291428497,,0.06640630106875917,0.14717288495380387,0.22688532467211994,,,0.2059471789212589,0.16981154046246144,0.21713668430645988,,
