,xg_mae
0,0.02578417956829071
1,0.023783128708600998
2,0.030174309387803078
3,0.028051098808646202
4,0.02708577737212181
5,0.03089817427098751
6,0.023862067610025406
7,0.030671730637550354
8,0.027232494205236435
9,0.030400225892663002
10,0.027898555621504784
11,0.02656913362443447
12,0.02248232625424862
13,0.02927853912115097
14,0.027325797826051712
15,0.02253132127225399
16,0.024887528270483017
17,0.03703008219599724
18,0.029132306575775146
19,0.031323596835136414
20,0.0241988617926836
21,0.025125063955783844
22,0.0273539237678051
23,0.02892742119729519
24,0.02988104522228241
25,0.028693299740552902
26,0.025621768087148666
27,0.03131137788295746
28,0.029838403686881065
29,0.03144010528922081
30,0.0296245776116848
31,0.025831827893853188
32,0.026871707290410995
33,0.02620972879230976
34,0.02754940092563629
35,0.029119329527020454
36,0.027936700731515884
37,0.02897699363529682
38,0.026385050266981125
39,0.02490076795220375
40,0.0265016071498394
41,0.030605372041463852
42,0.02750531956553459
43,0.02393410913646221
44,0.023169323801994324
45,0.02478373795747757
46,0.027969658374786377
47,0.02971521206200123
48,0.03088950365781784
49,0.028459709137678146
50,0.026401428505778313
51,0.021237676963210106
52,0.028231078758835793
53,0.02537715807557106
54,0.025606859475374222
55,0.02860066294670105
56,0.028876032680273056
57,0.02488526701927185
58,0.026004450395703316
59,0.026710042729973793
60,0.02760743908584118
61,0.024628549814224243
62,0.025338688865303993
63,0.02563605271279812
64,0.024254757910966873
65,0.02719293162226677
66,0.02978568896651268
67,0.03256896883249283
68,0.02990793250501156
69,0.023794859647750854
70,0.027819393202662468
71,0.02879958599805832
72,0.029267219826579094
73,0.02402418851852417
74,0.025129953399300575
75,0.026204541325569153
76,0.027215534821152687
77,0.024823911488056183
78,0.0253355260938406
79,0.029755063354969025
80,0.022766809910535812
81,0.027298809960484505
82,0.02248222753405571
83,0.0270235612988472
84,0.028810566291213036
85,0.026905879378318787
86,0.027130495756864548
87,0.03350517526268959
88,0.028932558372616768
89,0.02593100257217884
90,0.025160517543554306
91,0.02864883653819561
92,0.03280896320939064
93,0.027640413492918015
94,0.0287480428814888
95,0.036843039095401764
96,0.03477243334054947
97,0.021079299971461296
98,0.02628246881067753
99,0.027355659753084183
