date,farm,sensor,spad,lai,height,notes
2013-07-16,AES,11,38.2,2.3,102,
2013-07-16,AES,12,31,2.25,100,
2013-07-26,AES,1,3.6,1.95,89,
2013-07-26,AES,2,2.8,2.6,94,
2013-07-26,AES,3,17.4,1.37,73,
2013-07-26,AES,4,5.3,1.43,66,
2013-07-26,AES,5,21.8,2.75,92,
2013-07-26,AES,6,13,2.54,105,
2013-07-26,AES,7,4.1,1.6,90,
2013-07-26,AES,8,3.6,1.42,61,
2013-07-26,AES,9,9.8,1.21,80,
2013-07-26,AES,10,4.1,1.54,77,
2013-07-26,AES,11,2.3,1.83,103,
2013-07-26,AES,12,4.7,2.84,104,
2013-04-17,J,1,48.5,0.36,12,
2013-04-17,J,2,45.8,0.43,14,
2013-04-17,J,3,48.4,0.19,10,
2013-04-17,J,4,47.1,0.19,10,
2013-04-17,J,5,43.9,0.05,9,
2013-04-17,J,6,35.6,0.12,8,
2013-04-17,J,7,46.7,0.32,18,
2013-04-17,J,8,38.5,0.49,17,
2013-04-17,J,9,44.8,0.61,19,LAI might be high - dense rows here
2013-04-17,J,10,46.1,0.27,16,
2013-04-17,J,11,33.8,0.09,7,dry soil
2013-04-17,J,12,44.8,0.17,9,
2013-04-24,J,1,45.3,0.38,13,
2013-04-24,J,2,46.3,0.61,15,
2013-04-24,J,3,45.3,0.34,12,
2013-04-24,J,4,48.5,0.2,11,
2013-04-24,J,5,45.2,0.07,9,
2013-04-24,J,6,32.2,0.12,8,
2013-04-24,J,7,42.8,0.63,19,
2013-04-24,J,8,51.5,0.85,18,
2013-04-24,J,9,47.5,0.91,22,
2013-04-24,J,10,47.7,0.71,17,
2013-04-24,J,11,32.5,0.19,8,
2013-04-24,J,12,47.2,0.25,10,
2013-05-01,J,1,47.5,0.8,21,
2013-05-01,J,2,45.7,1.06,23,
2013-05-01,J,3,49,0.8,18,
2013-05-01,J,4,50.3,0.88,15,
2013-05-01,J,5,47.8,0.24,13,
2013-05-01,J,6,39.6,0.38,13,
2013-05-01,J,7,52.1,1.17,27,
2013-05-01,J,8,51.9,1.17,27,
2013-05-01,J,9,51.2,1.65,28,
2013-05-01,J,10,51.2,1.55,24,
2013-05-01,J,11,40.9,0.31,18,
2013-05-01,J,12,46.9,0.4,18,
2013-05-10,J,1,47.2,1.49,28,
2013-05-10,J,2,44.4,1.66,30,
2013-05-10,J,3,45.7,1.63,25,
2013-05-10,J,4,49.8,1.1,24,
2013-05-10,J,5,45.8,0.8,26,
2013-05-10,J,6,43,0.78,18,supes sparse
2013-05-10,J,7,51.6,1.88,29,
2013-05-10,J,8,46.5,2.44,38,
2013-05-10,J,9,47.7,1.89,38,  
2013-05-10,J,10,49.5,2.36,38,
2013-05-10,J,11,38.6,0.89,21,
2013-05-10,J,12,51.2,0.95,20,
2013-05-16,J,1,49.5,2.2,40,
2013-05-16,J,2,43.8,2.4,37,
2013-05-16,J,3,44,1.83,38,
2013-05-16,J,4,46.2,1.9,35,
2013-05-16,J,5,41.1,1.21,28,
2013-05-16,J,6,41.6,0.77,22,
2013-05-16,J,7,48.8,2.13,44,
2013-05-16,J,8,49.6,2.57,49,
2013-05-16,J,9,46.7,2.47,45,
2013-05-16,J,10,43.4,2.75,42,
2013-05-16,J,11,44.5,1.42,31,
2013-05-16,J,12,42,2.04,33,
2013-05-23,J,1,49.8,3.33,53,
2013-05-23,J,2,43.9,3.53,48,
2013-05-23,J,3,50.9,3.5,48.5,
2013-05-23,J,4,51.2,1.55,46,
2013-05-23,J,5,45.2,1.57,44,
2013-05-23,J,6,44.6,1.45,40.5,
2013-05-23,J,7,51.3,3.4,60,
2013-05-23,J,8,20.6,4.14,59,
2013-05-23,J,9,49.3,3.29,60,
2013-05-23,J,10,49.4,4.56,57,
2013-05-23,J,11,48.8,1.78,45,
2013-05-23,J,12,46.2,2.07,49.5,
2013-05-29,J,1,53.3,2.64,58,
2013-05-29,J,2,50.2,1.77,60.5,
2013-05-29,J,3,52.4,2.71,57,
2013-05-29,J,4,52.6,1.72,53,
2013-05-29,J,5,52.1,1.45,44.5,
2013-05-29,J,6,50.2,2.22,47,
2013-05-29,J,7,54.5,2.47,65,
2013-05-29,J,8,53.1,3.41,65,
2013-05-29,J,9,51.9,1.83,65,
2013-05-29,J,10,50.4,2.57,64,
2013-05-29,J,11,52.1,2.13,54,
2013-05-29,J,12,48.7,2.01,49,
2013-06-05,J,1,50.5,2.9,69.5,
2013-06-05,J,2,50.3,2.27,71.25,
2013-06-05,J,3,50.4,2.41,70,
2013-06-05,J,4,48.6,2.15,65,
2013-06-05,J,5,54.2,2,56.25,
2013-06-05,J,6,50.9,2.8,60,
2013-06-05,J,7,53.3,2.67,76,
2013-06-05,J,8,53.3,3.38,74.5,
2013-06-05,J,9,51,2.53,78,
2013-06-05,J,10,52.7,3.08,76.5,
2013-06-05,J,11,51.9,2.17,69,
2013-06-05,J,12,54.5,2.64,62,
2013-06-13,J,1,55,3.39,81,
2013-06-13,J,2,48.8,2.96,82,
2013-06-13,J,3,51.9,2.56,83,
2013-06-13,J,4,51.2,3.09,77,
2013-06-13,J,5,51.6,2.09,68,
2013-06-13,J,6,49.8,2.08,73,
2013-06-13,J,7,52.9,2.72,87,
2013-06-13,J,8,53.2,3.26,84,
2013-06-13,J,9,54,3.04,91,
2013-06-13,J,10,53.3,3.56,89,
2013-06-13,J,11,52.3,1.77,84,
2013-06-13,J,12,48.1,2.54,75,
2013-06-22,J,1,53.3,4.66,80,
2013-06-22,J,2,52.1,3.93,83,
2013-06-22,J,3,52.7,3.39,85,
2013-06-22,J,4,52.3,2.84,80,
2013-06-22,J,5,57.9,3,75,
2013-06-22,J,6,51.7,2.8,79,
2013-06-22,J,7,52,2.96,83,
2013-06-22,J,8,50.7,2.99,85,
2013-06-22,J,9,52,3.92,90,
2013-06-22,J,10,51.4,4.29,88,
2013-06-22,J,11,54,3.51,87,
2013-06-22,J,12,49.1,3.42,85,
2013-06-26,J,1,50.7,4.01,,
2013-06-26,J,2,48.9,3.79,,
2013-06-26,J,3,48.1,3.39,,
2013-06-26,J,4,48.3,3.6,,
2013-06-26,J,5,48.5,3.04,,
2013-06-26,J,6,50.4,2.45,,
2013-06-26,J,7,52.5,4.21,,
2013-06-26,J,8,51.9,4.38,,
2013-06-26,J,9,50.5,3.88,,
2013-06-26,J,10,44.5,4.5,,
2013-06-26,J,11,50.5,3.14,,
2013-06-26,J,12,44.1,3.06,,
2013-07-01,J,1,51.3,3.36,87,sunny; low LAI
2013-07-01,J,2,47.8,2.94,83,
2013-07-01,J,3,49,3.39,85,
2013-07-01,J,4,53.9,3.31,86,
2013-07-01,J,5,53.1,2.78,80,
2013-07-01,J,6,51,2.06,80,
2013-07-01,J,7,53.2,3.02,87,
2013-07-01,J,8,51.6,3.24,86,
2013-07-01,J,9,51.1,3.63,92,
2013-07-01,J,10,51.7,3.77,91,
2013-07-01,J,11,52.7,2.86,83,
2013-07-01,J,12,45,3.29,84,
2013-07-08,J,1,51.5,3.68,84,
2013-07-08,J,2,37.7,2.95,81,
2013-07-08,J,3,50.5,2.96,84,
2013-07-08,J,4,52.4,2.45,85,
2013-07-08,J,5,52.6,2.16,75,
2013-07-08,J,6,51.1,2.47,72,
2013-07-08,J,7,39.5,3.14,84,
2013-07-08,J,8,43.3,3.93,82,
2013-07-08,J,9,40.4,3.27,88,
2013-07-08,J,10,50.4,3.73,86,
2013-07-08,J,11,55.7,3.04,80,
2013-07-08,J,12,41.7,2.91,80,
2013-07-15,J,1,31.6,3.58,91,
2013-07-15,J,2,9.1,1.67,87,
2013-07-15,J,3,32.8,2.61,87,
2013-07-15,J,4,23.9,2.33,86,
2013-07-15,J,5,29,1.46,82,
2013-07-15,J,6,41.6,2.88,82,
2013-07-15,J,7,11.3,2.72,87,
2013-07-15,J,8,4.7,2.47,90,
2013-07-15,J,9,10.2,2.63,94,
2013-07-15,J,10,16.7,3,94,
2013-07-15,J,11,33.3,2.36,85,
2013-07-15,J,12,11.9,2.85,86,
2012-07-23,J,1,2.9,2.69,92,
2012-07-23,J,2,4.8,2.42,83,
2012-07-23,J,3,5.6,1.65,85,
2012-07-23,J,4,5.4,1.96,84,
2012-07-23,J,5,3.6,1.58,81,
2012-07-23,J,6,8.2,2.02,84,
2012-07-23,J,7,4.8,2.47,90,
2012-07-23,J,8,5.6,2.35,85,
2012-07-23,J,9,4.5,2.92,93,
2012-07-23,J,10,5.2,2.81,91,
2012-07-23,J,11,3.8,1.79,89,
2012-07-23,J,12,5.7,2.41,87,
2013-05-15,OD,1,56.4,1.1,25,
2013-05-15,OD,2,56.1,0.7,14,
2013-05-15,OD,3,51.2,1.06,24,
2013-05-15,OD,4,54.2,0.79,19,
2013-05-15,OD,5,63.5,0.98,21,
2013-05-15,OD,6,50.9,0.47,17,
2013-05-15,OD,7,50.8,1.1,20,
2013-05-15,OD,8,49.5,0.34,17,
2013-05-15,OD,9,53.6,0.93,20,
2013-05-15,OD,10,48.6,0.31,15,
2013-05-15,OD,11,50.7,0.69,15,
2013-05-15,OD,12,47.6,0.18,12,
2013-05-22,OD,1,53.9,1.03,35,
2013-05-22,OD,2,53.6,0.86,28,
2013-05-22,OD,3,53.4,1.9,38,
2013-05-22,OD,4,54.3,0.92,28,
2013-05-22,OD,5,46.8,1.83,36,
2013-05-22,OD,6,49.2,1.78,34,
2013-05-22,OD,7,53.6,2.19,35,
2013-05-22,OD,8,51.6,0.4,30,
2013-05-22,OD,9,51.2,1.19,31.5,
2013-05-22,OD,10,51.6,0.31,26,
2013-05-22,OD,11,49.3,0.63,31,
2013-05-22,OD,12,55.6,0.49,24.5,
2013-05-30,OD,1,53.1,2.5,48,
2013-05-30,OD,2,51.2,1.4,32,
2013-05-30,OD,3,49.2,2.89,47,
2013-05-30,OD,4,55.1,1.65,35,
2013-05-30,OD,5,51.6,2.58,41,
2013-05-30,OD,6,54.1,2.58,39,
2013-05-30,OD,7,52.3,2.7,41,
2013-05-30,OD,8,52,1.36,34,
2013-05-30,OD,9,52.9,2.45,42,
2013-05-30,OD,10,54.6,0.88,30,
2013-05-30,OD,11,55.2,0.85,38,
2013-05-30,OD,12,54,0.66,26,
2013-06-04,OD,1,55,2.68,,
2013-06-04,OD,2,56.3,2.79,,
2013-06-04,OD,3,52.2,3.26,,
2013-06-04,OD,4,55.7,1.85,,
2013-06-04,OD,5,52.7,2.65,,
2013-06-04,OD,6,55.8,3.55,,
2013-06-04,OD,7,54,3.18,,
2013-06-04,OD,8,56.3,1.6,,
2013-06-04,OD,9,51.2,1.96,,
2013-06-04,OD,10,48.9,1.41,,
2013-06-04,OD,11,61.9,1.33,,
2013-06-04,OD,12,52.7,0.94,,
2013-06-11,OD,1,51.6,4.44,69,
2013-06-11,OD,2,56.8,2.23,51,
2013-06-11,OD,3,48.8,3.69,76,
2013-06-11,OD,4,50,2.46,61,
2013-06-11,OD,5,55,2.48,53,
2013-06-11,OD,6,53.6,3.34,68,
2013-06-11,OD,7,56.9,3.94,65,
2013-06-11,OD,8,53.1,2.97,54,
2013-06-11,OD,9,52.8,3.63,64,
2013-06-11,OD,10,54.1,2.19,46,
2013-06-11,OD,11,56.5,2.65,59,
2013-06-11,OD,12,51.8,0.87,36,
2013-06-19,OD,1,45,4.63,105,
2013-06-19,OD,2,52.4,2.66,75,
2013-06-19,OD,3,45.1,3.79,105,
2013-06-19,OD,4,46.7,3.14,80,
2013-06-19,OD,5,51.6,3.35,95,
2013-06-19,OD,6,48.7,3.68,100,
2013-06-19,OD,7,47.9,3.76,97,
2013-06-19,OD,8,45,3.16,80,
2013-06-19,OD,9,47.1,3.7,100,
2013-06-19,OD,10,53.5,2.74,63,
2013-06-19,OD,11,52,2.89,83,
2013-06-19,OD,12,54.4,1.01,65,
2013-06-27,OD,1,46.2,3.75,108,
2013-06-27,OD,2,51.6,3.34,99,
2013-06-27,OD,3,46.6,4.31,121,
2013-06-27,OD,4,46.4,3.34,92,
2013-06-27,OD,5,48.3,3.28,92,
2013-06-27,OD,6,52.1,4.14,109,
2013-06-27,OD,7,51,4.68,118,
2013-06-27,OD,8,43.2,2.71,98,
2013-06-27,OD,9,57,3.18,94,
2013-06-27,OD,10,56.6,2.18,95,
2013-06-27,OD,11,53.2,3.46,99,
2013-06-27,OD,12,56.4,2.11,82,
2013-07-02,OD,1,51.6,4.98,135,
2013-07-02,OD,2,52.7,3.05,111,
2013-07-02,OD,3,46.5,4.66,140,
2013-07-02,OD,4,48,3.23,107,
2013-07-02,OD,5,52.4,2.28,108,
2013-07-02,OD,6,50.9,3.68,119,
2013-07-02,OD,7,51.6,5.83,127,
2013-07-02,OD,8,51.1,2.38,107,
2013-07-02,OD,9,51.2,3.23,111,
2013-07-02,OD,10,57.8,3.6,96,
2013-07-02,OD,11,54.5,5.39,124,
2013-07-02,OD,12,51.4,2.11,92,
2013-07-08,OD,1,50.5,2.98,110,
2013-07-08,OD,2,53.6,3.01,105,
2013-07-08,OD,3,47.3,4.04,127,
2013-07-08,OD,4,55.7,53.2,106,
2013-07-08,OD,5,51.5,2.32,107,
2013-07-08,OD,6,51.5,3.66,95,
2013-07-08,OD,7,48.9,4.83,114,
2013-07-08,OD,8,48.9,2.62,106,
2013-07-08,OD,9,48.2,3,90,
2013-07-08,OD,10,52,2.7,91,
2013-07-08,OD,11,53.9,4.95,121,
2013-07-08,OD,12,49.7,2.34,87,
2013-07-16,OD,1,25.3,4.17,108,
2013-07-16,OD,2,39.6,2.7,98,
2013-07-16,OD,3,37.4,3.98,115,
2013-07-16,OD,4,40.4,3.07,98,
2013-07-16,OD,5,35.5,2.46,84,
2013-07-16,OD,6,36.3,2.58,102,
2013-07-16,OD,7,48.7,5.95,105,
2013-07-16,OD,8,38.7,3.09,110,
2013-07-16,OD,9,37.2,2.57,103,
2013-07-16,OD,10,53.9,2.82,100,
2013-07-16,OD,11,51.8,2.84,126,
2013-07-16,OD,12,43.8,3.32,97,
2013-07-26,OD,1,6.5,3.2,107,
2013-07-26,OD,2,4.7,1.98,101,
2013-07-26,OD,3,16.4,2.88,120,
2013-07-26,OD,4,5.4,2.36,110,
2013-07-26,OD,5,6,1.54,95,
2013-07-26,OD,6,2.6,2.5,108,
2013-07-26,OD,7,17.6,4.42,130,
2013-07-26,OD,8,4.6,2.63,111,
2013-07-26,OD,9,3.8,2.5,95,
2013-07-26,OD,10,5.1,2.4,93,
2013-07-26,OD,11,26.9,3.14,118,
2013-07-26,OD,12,10.7,1.64,88,
2013-04-17,W,1,50.1,1.05,25,
2013-04-17,W,2,47.3,0.73,22,
2013-04-17,W,3,48,0.72,23,
2013-04-17,W,4,45.8,1.11,28,
2013-04-17,W,5,44.1,1.13,30,trouble locating no flags. More or less
2013-04-17,W,6,51.6,1.15,28,
2013-04-17,W,7,50.3,1.17,26,trouble locating no flags. More or less
2013-04-17,W,8,45.3,1.07,25,
2013-04-17,W,9,50.8,1.74,33,trouble locating no flags. More or less
2013-04-17,W,10,49,1.01,30,trouble locating no flags. More or less
2013-04-17,W,11,42.1,0.95,22,
2013-04-17,W,12,38,0.95,25,
2013-04-24,W,1,50,1.37,30,
2013-04-24,W,2,53.8,0.99,25,
2013-04-24,W,3,47.7,1.09,28,
2013-04-24,W,4,50.7,2.03,34,
2013-04-24,W,5,47.8,2.01,35,
2013-04-24,W,6,47.9,1.79,29,
2013-04-24,W,7,52.2,1.68,31,
2013-04-24,W,8,53.5,1.25,30,
2013-04-24,W,9,46.8,2.3,34,
2013-04-24,W,10,48.2,2.05,35,
2013-04-24,W,11,47.4,1.21,25,
2013-04-24,W,12,46.5,1.74,26,
2013-05-01,W,1,50,1.82,43,
2013-05-01,W,2,47,1.71,41,
2013-05-01,W,3,45.2,1.79,32,
2013-05-01,W,4,48.3,2.34,39,
2013-05-01,W,5,43.9,2.38,43,
