"DOY","field","sensor","raw_smr","filename","date","depth_1","depth_2","depth_3","year","day","sm_mean","error"
"1342014","AES",2,0.28992359,"rz.mc_1342014.asc","2014-05-14",0.288393273494559,0.290656212797677,0.25361516379001,2014,134,0.277554883360749,0.0123687066392509
"1502014","OD",2,0.30416939,"rz.mc_1502014.asc","2014-05-30",0.234215439479565,0.283384535572485,0.328687693114623,2014,150,0.282095889388891,0.0220735006111092
"1552014","AES",2,0.2204074,"rz.mc_1552014.asc","2014-06-04",0.180594367660983,0.266682767438432,0.245828533543175,2014,155,0.231035222880863,0.0106278228808631
"1592013","AES",2,0.21002887,"rz.mc_1592013.asc","2013-06-08",0.186636149271701,0.282742939556302,0.283943422415155,2013,159,0.251107503747719,0.0410786337477193
"1652012","OD",2,0.32171581,"rz.mc_1652012.asc","2012-06-13",0.25116043782114,0.296431980206946,0.401244465317835,2012,165,0.316278961115307,0.00543684888469326
"1662013","AES",2,0.18217608,"rz.mc_1662013.asc","2013-06-15",0.164531631094989,0.251055213763113,0.266410746723965,2013,166,0.227332530527355,0.0451564505273554
"1662013","OD",2,0.23680797,"rz.mc_1662013.asc","2013-06-15",0.208946384663353,0.268346954570779,0.317452366653428,2013,166,0.264915235295853,0.0281072652958534
"1672012","OD",2,0.31222271,"rz.mc_1672012.asc","2012-06-15",0.241938088369119,0.292678932512571,0.392686483309106,2012,167,0.309101168063598,0.00312154193640163
"1702014","AES",2,0.19764004,"rz.mc_1702014.asc","2014-06-19",0.126695956044762,0.183142476691089,0.213163133423683,2014,170,0.174333855386511,0.0233061846134885
"1702014","OD",2,0.26421679,"rz.mc_1702014.asc","2014-06-19",0.173544880592147,0.228204960153799,0.257636220619757,2014,170,0.219795353788568,0.0444214362114322
"1772011","AES",2,0.19998355,"rz.mc_1772011.asc","2011-06-26",NA,NA,NA,2011,177,NA,NA
"1772012","AES",2,0.17267853,"rz.mc_1772012.asc","2012-06-25",0.182109108299928,0.264468790110473,0.261957713768956,2012,177,0.236178537393119,0.0635000073931192
"1772012","OD",2,0.26775815,"rz.mc_1772012.asc","2012-06-25",0.205696085280591,0.26331955445718,0.325673415341788,2012,177,0.264896351693187,0.00286179830681327
"1782013","OD",2,0.26120945,"rz.mc_1782013.asc","2013-06-27",0.203495374991504,0.254900346399743,0.281411152239195,2013,178,0.246602291210147,0.0146071587898528
"1802013","AES",2,0.18617451,"rz.mc_1802013.asc","2013-06-29",0.159887109865336,0.221251725781238,0.244521843142005,2013,180,0.208553559596193,0.0223790495961931
"1852013","OD",2,0.23258096,"rz.mc_1852013.asc","2013-07-04",0.204583519717544,0.258010322956483,0.268647586926176,2013,185,0.243747143200068,0.0111661832000675
"1862011","OD",2,0.2201582,"rz.mc_1862011.asc","2011-07-05",NA,NA,NA,2011,186,NA,NA
"1882012","AES",2,0.17575072,"rz.mc_1882012.asc","2012-07-06",0.176034568758834,0.23589892867771,0.237959190390838,2012,188,0.216630895942461,0.0408801759424608
"1882014","OD",2,0.22130422,"rz.mc_1882014.asc","2014-07-07",0.190146150375691,0.233629416981064,0.229967217680616,2014,188,0.217914261679124,0.00338995832087641
"1892013","AES",2,0.16612665,"rz.mc_1892013.asc","2013-07-08",0.155218282375432,0.200011802919394,0.230004736527401,2013,189,0.195078273940743,0.0289516239407425
"1892014","AES",2,0.16497408,"rz.mc_1892014.asc","2014-07-08",0.125890955248894,0.126367468639806,0.139036192385402,2014,189,0.130431538758034,0.0345425412419662
"1902011","AES",2,0.1661082,"rz.mc_1902011.asc","2011-07-09",NA,NA,NA,2011,190,NA,NA
"1922012","OD",2,0.23746014,"rz.mc_1922012.asc","2012-07-10",0.19471227076802,0.250466308720941,0.258309789287851,2012,192,0.234496122925604,0.00296401707439575
"1922014","OD",2,0.21432915,"rz.mc_1922014.asc","2014-07-11",0.191326079606954,0.232799949282522,0.216281949900839,2014,192,0.213469326263438,0.00085982373656196
"1952012","AES",2,0.16997516,"rz.mc_1952012.asc","2012-07-13",0.162212408762694,0.215011772311931,0.20700896749395,2012,195,0.194744382856192,0.0247692228561916
"1962011","OD",2,0.21203533,"rz.mc_1962011.asc","2011-07-15",NA,NA,NA,2011,196,NA,NA
"1962013","OD",2,0.21287234,"rz.mc_1962013.asc","2013-07-15",0.191720902085039,0.242823401776695,0.246929846799804,2013,196,0.227158050220513,0.0142857102205126
"1972012","OD",2,0.2281043,"rz.mc_1972012.asc","2012-07-15",0.191970704264463,0.247161010310598,0.251807183409332,2012,197,0.230312965994798,0.00220866599479749
"2052013","OD",2,0.20920194,"rz.mc_2052013.asc","2013-07-24",0.194763721668958,0.240277046225875,0.243481013151601,2013,205,0.226173927015478,0.016971987015478
"2062014","AES",2,0.1652784,"rz.mc_2062014.asc","2014-07-25",0.113358016800856,0.103184651710497,0.0881292664545408,2014,206,0.101557311655298,0.0637210883447018
"2082013","AES",2,0.16133222,"rz.mc_2082013.asc","2013-07-27",0.145021806200085,0.165962442739379,0.195251718465489,2013,208,0.168745322468318,0.00741310246831769
"2122011","AES",2,0.16430604,"rz.mc_2122011.asc","2011-07-31",NA,NA,NA,2011,212,NA,NA
"2132012","OD",2,0.21340247,"rz.mc_2132012.asc","2012-07-31",0.193563787334162,0.245449478709446,0.239538305272951,2012,213,0.226183857105519,0.0127813871055195
"2152011","OD",2,0.20542522,"rz.mc_2152011.asc","2011-08-03",NA,NA,NA,2011,215,NA,NA
"2172012","OD",2,0.20914634,"rz.mc_2172012.asc","2012-08-04",0.193862436091413,0.245741085281389,0.241067596172788,2012,217,0.226890372515197,0.0177440325151969
"1342014","AES",3,0.29576132,"rz.mc_1342014.asc","2014-05-14",0.274407709027045,0.297605797761506,0.333702083980981,2014,134,0.301905196923178,0.00614387692317753
"1502014","OD",3,0.30769587,"rz.mc_1502014.asc","2014-05-30",0.223558518008732,0.301434343464213,0.284560278476023,2014,150,0.269851046649656,0.0378448233503438
"1552014","AES",3,0.23041933,"rz.mc_1552014.asc","2014-06-04",0.19196566912392,0.295825949808313,0.32447168119024,2014,155,0.270754433374157,0.0403351033741575
"1592013","AES",3,0.22090527,"rz.mc_1592013.asc","2013-06-08",0.26137072246435,0.298211161858483,0.327948158509835,2013,159,0.29584334761089,0.0749380776108896
"1652012","OD",3,0.32496711,"rz.mc_1652012.asc","2012-06-13",0.222681776293331,0.313645656726073,0.297201562291297,2012,165,0.2778429984369,0.0471241115630995
"1662013","AES",3,0.19107315,"rz.mc_1662013.asc","2013-06-15",0.247435416474499,0.297992809821097,0.323308082197656,2013,166,0.289578769497751,0.0985056194977506
"1662013","OD",3,0.23834295,"rz.mc_1662013.asc","2013-06-15",0.247158537310358,0.325835997855828,0.286046185714514,2013,166,0.286346906960233,0.0480039569602331
"1672012","OD",3,0.31628643,"rz.mc_1672012.asc","2012-06-15",0.210238966484189,0.305333303257157,0.293311851106595,2012,167,0.269628040282647,0.0466583897173529
"1702014","AES",3,0.20500178,"rz.mc_1702014.asc","2014-06-19",0.158312294948625,0.287392912393216,0.307394278587576,2014,170,0.251033161976472,0.0460313819764722
"1702014","OD",3,0.26731296,"rz.mc_1702014.asc","2014-06-19",0.170477729995172,0.20237663103475,0.262751234745469,2014,170,0.211868531925131,0.0554444280748694
