date,field,sensor,sand_1,sand_2,sand_3,sand_4,sand_5,silt_1,silt_2,silt_3,silt_4,silt_5,clay_1,clay_2,clay_3,clay_4,clay_5,TN_1,TN_2,TN_3,TN_4,TN_5,TC_1,TC_2,TC_3,TC_4,TC_5
2011,AES,1,13.596915430126899,14.5304209206635,15.0789597123051,16.1204482281178,14.83192113492,57.41014089906983,54.141284529799,51.3194697798878,55.243801638482,63.0400032037282,28.992943670803268,31.3282945495374,33.6015705078071,28.6357501334002,22.1280756613518,0.09914,0.0621,0.03535,0.02765,0.03261,0.9270900000000001,0.4438,0.30132,0.23241,0.21985
2011,AES,2,13.037486059510032,19.3836758273507,11.2229213618603,13.9765805450235,18.7943014479436,61.8702846045774,55.6573409259707,62.9225674014875,61.1467017992025,60.2283282893348,25.092229335912567,24.9589832466786,25.8545112366523,24.876717655774,20.9773702627216,0.11996000000000001,0.09394,0.0728,0.04232,0.04762,1.2666000000000002,0.88369,0.63949,0.42451,0.31031
2011,AES,3,16.468527476474602,14.9466843622718,12.9911532095528,13.0883418412077,15.4234231823065,61.93675629086386,60.620355343708,63.0796890878262,64.9421541739316,65.571796098478,21.594716232661565,24.4329602940202,23.929157702621,21.9695039848607,19.0047807192155,0.12171666666666665,0.12897,0.14551,0.11783,0.08567,1.2605133333333332,1.4334,1.6425,1.128,0.8051
2011,AES,4,14.672770180137,16.0482902258725,15.4741957687039,16.4302205853931,14.4481347708711,56.37694793751887,60.6319586276053,62.3292290364519,63.9581671416676,64.3986363436715,28.950281882344132,23.3197511465222,22.1965751948442,19.6116122729393,21.1532288854574,0.06431666666666667,0.03168,0.03694,0.02903,0.02592,0.6325966666666667,0.27883,0.24746,0.20544,0.20232
2011,AES,5,16.239896948098203,17.8162778545966,14.8911260428653,19.6957651991623,22.4016514102977,62.309404110917605,56.3756767036222,67.1593474607257,63.2620545073361,63.2815011590335,21.450698940984267,25.8080454417812,17.949526496409,17.0421802935016,14.3168474306688,0.125,0.11603,0.12191,0.11853,0.07169,1.3446666666666667,1.3024,1.3217,1.1949,0.83017
2011,AES,6,13.2307720961347,13.1983045778463,16.1351542440369,21.7686287459196,12.8665788653522,61.88395677312187,62.5642400679264,60.3850434535499,55.693048241209,66.3201530825979,24.885271130743433,24.2374553542273,23.4798023024132,22.5383230128714,20.8132680520499,0.1424966666666667,0.14868,0.1332,0.09454,0.07306,1.6170333333333335,1.7614,1.5326,0.834,0.83496
2011,AES,7,12.325174660826967,15.3133261946953,16.3294452097936,14.7522111274577,10.8720819725952,62.336371726177106,60.7100102025676,61.403833781877,63.7862014517101,59.0949147270746,25.338453612995934,23.9766636027371,22.2667210083294,21.4615874208322,30.0330033003303,0.11797333333333333,0.1106,0.08104,0.03616,0.03219,1.2224166666666667,1.125,0.62754,0.30493,0.26252
2011,AES,8,18.480445602355132,14.7419566736063,16.2580489940218,16.5691506682161,16.0404202664253,60.47309774216097,64.0546636869484,60.5491527462658,58.8523618066334,60.3764000013723,21.0464566554839,21.2033796394452,23.1927982597124,24.5784875251505,23.5831797322025,0.06299333333333333,0.03942,0.02704,0.04157,0.03404,0.5404766666666666,0.21113,0.21293,0.21146,0.21363
2011,AES,9,20.428581946299435,14.485072011482,13.0869343457716,15.5350587031796,12.7087579092021,53.65697047132003,58.5771265499567,61.5772282478342,57.1720849471511,58.0369501916227,25.9144475823805,26.9378014385613,25.3358374063941,27.2928563496693,29.2542918991752,0.10300333333333334,0.11654,0.10491,0.05825,0.04091,1.12488,1.2594,1.02,0.43459,0.29605
2011,AES,10,16.7588176913764,11.2803361804534,10.9774528298485,12.670984413046,10.0567536128885,58.85767382278813,65.9210082743388,63.446604217991,64.07049742426,67.7489968388283,24.383508485835478,22.7986555452078,25.5759429521605,23.258518162694,22.1942495482832,0.12488333333333333,0.05298,0.05246,0.04805,0.0478,1.35888,0.50125,0.4043,0.34243,0.32556
