,Score,Std,batch_size,beta_1,beta_2,decay,dropout_rate,epochs,epsilon,filters1,filters2,filters3,filters4,filters5,filters6,filters_dense,init,kernel_size1,kernel_size2,kernel_size3,kernel_size4,kernel_size5,kernel_size6,layers,lr,max_meanPool_1,max_meanPool_2,max_meanPool_3,max_meanPool_4,max_meanPool_5,max_meanPool_6,momentum,nesterov,optimizer,pool_size1,pool_size2,pool_size3,pool_size4,pool_size5,pool_size6,rho,schedule_decay,stride1,stride2,stride3,stride4,stride5,stride6
20,0.11249296869049157,0.08267553508061322,14,0.9811,0.97139,0.005,0.0,100,1e-07,512,512,32,32,512,256,64,glorot_uniform,2,4,1,4,2,4,6,0.001,2,1,1,2,2,2,0.9,False,RMSprop,1,4,2,2,4,3,0.894557,0.001,2,4,1,4,4,4
21,0.10927661255432601,0.08974150866620356,18,0.9811,0.97139,0.005,0.0,100,1e-07,512,256,64,32,512,256,256,glorot_uniform,2,4,3,4,2,4,6,0.001,2,1,1,2,2,2,0.9,False,RMSprop,1,2,3,3,1,3,0.894557,0.001,2,4,2,4,3,2
22,0.10461959766776556,0.07707986914874845,16,0.9811,0.97139,0.005,0.0,100,1e-07,512,256,128,64,32,256,128,glorot_uniform,2,2,3,1,2,4,6,0.001,2,1,1,2,2,2,0.9,False,RMSprop,1,4,1,2,2,3,0.894557,0.001,2,1,4,2,2,3
23,0.10459339354528474,0.07933527977640556,12,0.9811,0.97139,0.005,0.0,100,1e-07,512,256,256,32,64,512,256,glorot_uniform,2,2,2,3,1,4,6,0.0005,2,1,1,2,2,2,0.9,False,RMSprop,1,3,3,1,4,1,0.894557,0.001,2,2,3,1,4,2
24,0.10401742414482623,0.07841665225787318,16,0.9811,0.97139,0.005,0.0,100,1e-07,512,32,256,128,128,512,512,glorot_uniform,2,4,3,2,1,4,6,0.0005,2,1,1,2,2,2,0.9,False,RMSprop,1,4,3,4,4,1,0.894557,0.001,2,4,3,1,2,3
25,0.1027637874648774,0.04339602522240174,14,0.9811,0.97139,0.005,0.0,100,1e-07,512,512,64,512,512,64,256,glorot_uniform,2,3,1,4,4,2,6,0.0005,2,1,1,2,2,2,0.9,False,RMSprop,1,1,4,2,3,4,0.894557,0.001,2,2,3,2,3,3
26,0.10146637835933177,0.0731500972749883,18,0.9811,0.97139,0.005,0.0,100,1e-07,512,512,128,32,32,64,64,glorot_uniform,2,3,3,2,2,4,6,0.0005,2,1,1,2,2,2,0.9,False,RMSprop,1,2,4,4,4,1,0.894557,0.001,2,2,3,3,2,2
27,0.10035074551469861,0.07409401769100596,16,0.9811,0.97139,0.005,0.0,100,1e-07,512,128,256,256,64,256,512,glorot_uniform,2,4,2,4,4,3,6,0.0005,2,1,1,2,2,2,0.9,False,RMSprop,1,1,3,4,1,1,0.894557,0.001,2,2,4,3,4,3
28,0.09820035381452731,0.07243015720159576,12,0.9811,0.97139,0.005,0.0,100,1e-07,512,128,32,32,128,512,256,glorot_uniform,2,3,3,3,3,3,6,0.00015,2,1,1,2,2,2,0.9,False,RMSprop,1,3,1,4,2,4,0.894557,0.001,2,2,2,1,2,2
29,0.09400343221804724,0.06592437020859765,16,0.9811,0.97139,0.005,0.0,100,1e-07,512,128,32,64,256,512,64,glorot_uniform,2,1,3,1,4,3,6,0.00015,2,1,1,2,2,2,0.9,False,RMSprop,1,1,2,3,2,1,0.894557,0.001,2,4,1,4,4,3
30,0.09194054906108327,0.059775051043317234,14,0.9811,0.97139,0.005,0.0,100,1e-07,512,64,64,128,512,64,64,glorot_uniform,2,4,4,1,3,2,6,0.0005,2,1,1,2,2,2,0.9,False,RMSprop,1,1,1,2,4,3,0.894557,0.001,2,4,1,4,4,1
31,0.08940956167722987,0.0482969941606298,14,0.9811,0.97139,0.005,0.0,100,1e-07,512,128,512,128,512,128,128,glorot_uniform,2,2,4,2,2,1,6,0.001,2,1,1,2,2,2,0.9,False,RMSprop,1,4,3,3,2,3,0.894557,0.001,2,3,4,4,1,2
32,0.08833960017580572,0.05628477531522397,16,0.9811,0.97139,0.005,0.0,100,1e-07,512,512,512,64,64,128,256,glorot_uniform,2,1,4,3,3,1,6,0.001,2,1,1,2,2,2,0.9,False,RMSprop,1,2,3,3,3,2,0.894557,0.001,2,3,1,1,2,4
33,0.08666000789216538,0.05415173607786176,16,0.9811,0.97139,0.005,0.0,100,1e-07,512,32,512,128,32,512,512,glorot_uniform,2,1,2,3,2,2,6,0.00015,2,1,1,2,2,2,0.9,False,RMSprop,1,3,1,4,4,2,0.894557,0.001,2,2,1,3,3,2
34,0.08547591475380076,0.05327775004291355,12,0.9811,0.97139,0.005,0.0,100,1e-07,512,512,256,128,256,512,256,glorot_uniform,2,4,4,3,2,4,6,0.0001,2,1,1,2,2,2,0.9,False,RMSprop,1,4,3,3,4,4,0.894557,0.001,2,4,1,1,1,1
35,0.08527689577198348,0.05009007119578794,14,0.9811,0.97139,0.005,0.0,100,1e-07,512,32,256,256,512,512,128,glorot_uniform,2,2,4,1,1,2,6,0.0005,2,1,1,2,2,2,0.9,False,RMSprop,1,2,4,3,2,2,0.894557,0.001,2,3,3,1,4,4
36,0.08357559894141917,0.037955516424417454,12,0.9811,0.97139,0.005,0.0,100,1e-07,512,128,128,256,64,256,128,glorot_uniform,2,2,1,1,1,1,6,0.0005,2,1,1,2,2,2,0.9,False,RMSprop,1,2,2,4,2,2,0.894557,0.001,2,2,3,2,2,3
