,Score,Std,batch_size,beta_1,beta_2,decay,dropout_rate,epochs,epsilon,filters1,filters2,filters3,filters4,filters5,filters6,filters_dense,init,kernel_size1,kernel_size2,kernel_size3,kernel_size4,kernel_size5,kernel_size6,layers,lr,max_meanPool_1,max_meanPool_2,max_meanPool_3,max_meanPool_4,max_meanPool_5,max_meanPool_6,momentum,nesterov,optimizer,pool_size1,pool_size2,pool_size3,pool_size4,pool_size5,pool_size6,rho,schedule_decay,stride1,stride2,stride3,stride4,stride5,stride6
0,15.884000778301933,7.216297539408654,3,0.9130588049258307,0.9498343369399377,0.012,0.0,40,1e-09,64,256,256,32,32,32,64,lecun_normal,3,1,3,1,1,1,3,0.001,2,1,2,2,2,2,0.9,False,RMSprop,4,1,3,1,1,1,0.8026518983228177,0.0055,3,3,4,1,1,1
1,7.824623137248387,7.865013751839731,4,0.9130588049258307,0.9498343369399377,0.012,0.0,40,1e-09,64,128,64,32,32,32,64,lecun_normal,3,4,1,1,1,1,3,0.001,2,2,2,2,2,2,0.9,False,RMSprop,4,3,1,1,1,1,0.8026518983228177,0.0055,3,1,1,1,1,1
2,1.5071693895059217,2.0639355212309067,5,0.9130588049258307,0.9498343369399377,0.012,0.0,40,1e-09,64,256,512,32,32,32,128,lecun_normal,3,1,3,1,1,1,3,0.00015,2,1,2,2,2,2,0.9,False,RMSprop,4,1,1,1,1,1,0.8026518983228177,0.0055,3,3,3,1,1,1
3,1.4736958325006877,2.0277490680238683,3,0.9130588049258307,0.9498343369399377,0.012,0.0,40,1e-09,64,32,128,32,32,32,512,lecun_normal,3,1,2,1,1,1,3,0.0001,2,2,1,2,2,2,0.9,False,RMSprop,4,1,2,1,1,1,0.8026518983228177,0.0055,3,1,1,1,1,1
4,1.33549042322125,1.8192927705776278,1,0.9130588049258307,0.9498343369399377,0.012,0.0,40,1e-09,64,512,64,32,32,32,512,lecun_normal,3,2,2,1,1,1,3,0.00015,2,1,2,2,2,2,0.9,False,RMSprop,4,3,2,1,1,1,0.8026518983228177,0.0055,3,3,1,1,1,1
5,1.2259482632519243,1.662096621567541,3,0.9130588049258307,0.9498343369399377,0.012,0.0,40,1e-09,64,512,512,32,32,32,256,lecun_normal,3,3,4,1,1,1,3,0.0005,2,1,2,2,2,2,0.9,False,RMSprop,4,1,3,1,1,1,0.8026518983228177,0.0055,3,2,3,1,1,1
6,1.1817977020337647,1.6108219597447087,1,0.9130588049258307,0.9498343369399377,0.012,0.0,40,1e-09,64,128,512,32,32,32,128,lecun_normal,3,3,4,1,1,1,3,0.0001,2,1,1,2,2,2,0.9,False,RMSprop,4,2,2,1,1,1,0.8026518983228177,0.0055,3,3,4,1,1,1
7,1.0685849036293265,1.45554152552999,6,0.9130588049258307,0.9498343369399377,0.012,0.0,40,1e-09,64,512,256,32,32,32,256,lecun_normal,3,4,1,1,1,1,3,0.001,2,1,1,2,2,2,0.9,False,RMSprop,4,4,1,1,1,1,0.8026518983228177,0.0055,3,4,3,1,1,1
8,1.0041851299521751,1.191110179215698,6,0.9130588049258307,0.9498343369399377,0.012,0.0,40,1e-09,64,64,512,32,32,32,64,lecun_normal,3,2,2,1,1,1,3,0.0005,2,2,2,2,2,2,0.9,False,RMSprop,4,3,2,1,1,1,0.8026518983228177,0.0055,3,1,2,1,1,1
9,0.9619358988425789,1.2836850224143532,6,0.9130588049258307,0.9498343369399377,0.012,0.0,40,1e-09,64,256,256,32,32,32,64,lecun_normal,3,2,4,1,1,1,3,0.0005,2,1,2,2,2,2,0.9,False,RMSprop,4,3,4,1,1,1,0.8026518983228177,0.0055,3,4,2,1,1,1
